x_1;x_2;y
1;64182;0
2;64215;0
3;64235;0
4;64235;0
5;64237;0
6;64210;0
7;64248;0
8;64256;0
9;64212;0
10;64171;0
11;64228;0
12;64206;0
13;64307;0
14;64235;0
15;64243;0
16;64213;0
17;64258;0
18;64262;0
19;64179;0
20;64304;0
21;64237;0
22;64277;0
23;64214;0
24;64238;0
25;64277;0
26;64216;0
27;64244;0
28;64235;0
29;64191;0
30;64220;0
31;64202;0
32;64233;0
33;64271;0
34;64254;0
35;64244;0
36;64254;0
37;64199;0
38;64193;0
39;64201;0
40;64224;0
41;64240;0
42;64212;0
43;64224;0
44;64193;0
45;64253;0
46;64243;0
47;64221;0
48;64189;0
49;64223;0
50;64277;0
51;64281;0
52;64276;0
53;64261;0
54;64242;0
55;64241;0
56;64249;0
57;64213;0
58;64190;0
59;64233;0
60;64234;0
61;64210;0
62;64217;0
63;64260;0
64;64223;0
65;64228;0
66;64250;0
67;64233;0
68;64251;0
69;64244;0
70;64222;0
71;64221;0
72;64241;0
73;64229;0
74;64296;0
75;64196;0
76;64221;0
77;64255;0
78;64199;0
79;64212;0
80;64194;0
81;64273;0
82;64204;0
83;64266;0
84;64264;0
85;64228;0
86;64184;0
87;64233;0
88;64196;0
89;64224;0
90;64267;0
91;64198;0
92;64289;0
93;64285;0
94;64245;0
95;64286;0
96;64219;0
97;64207;0
98;64200;0
99;64246;0
100;64222;0
101;64275;0
102;64285;0
103;64221;0
104;64229;0
105;64201;0
106;64268;0
107;64253;0
108;64349;0
109;64249;0
110;64255;0
111;64267;0
112;64266;0
113;64268;0
114;64231;0
115;64266;0
116;64264;0
117;64238;0
118;64234;0
119;64267;0
120;64281;0
121;64263;0
122;64330;0
123;64339;0
124;64248;0
125;64296;0
126;64249;0
127;64299;0
128;64247;0
129;64241;0
130;64270;0
131;64301;0
132;64319;0
133;64245;0
134;64285;0
135;64245;0
136;64284;0
137;64243;0
138;64279;0
139;64311;0
140;64305;0
141;64239;0
142;64251;0
143;64277;0
144;64309;0
145;64295;0
146;64272;0
147;64225;0
148;64302;0
149;64290;0
150;64306;0
151;64282;0
152;64267;0
153;64299;0
154;64281;0
155;64283;0
156;64304;0
157;64220;0
158;64288;0
159;64289;0
160;64345;0
161;64300;0
162;64315;0
163;64285;0
164;64317;0
165;64276;0
166;64334;0
167;64302;0
168;64268;0
169;64320;0
170;64292;0
171;64326;0
172;64333;0
173;64297;0
174;64264;0
175;64361;0
176;64286;0
177;64379;0
178;64338;0
179;64286;0
180;64358;0
181;64344;0
182;64421;0
183;64324;0
184;64407;0
185;64380;0
186;64351;0
187;64332;0
